lectureId,courseCode,roomName,buildingName,start,end,capacity,expectedGroupSize,occupancy,status
959640,CC2005_2025,M1-17,Building 3,2025-09-01 09:00:00,2025-09-01 10:45:00,145,139.0,33.0,Completed
959642,FEB61000_2025,CB-1,Building 2,2025-09-01 09:00:00,2025-09-01 10:45:00,482,400.0,379.0,Completed
959643,FEB61000_2025,CB-4,Building 2,2025-09-01 09:00:00,2025-09-01 10:45:00,118,100.0,94.0,Completed
959645,FEB61000_2025,L0.03,Building 1,2025-09-01 09:00:00,2025-09-01 10:45:00,256,250.0,227.0,Completed
959681,CM1015_2025,CB-5,Building 2,2025-09-01 09:00:00,2025-09-01 10:45:00,308,300.0,236.0,Completed
1004870,,CB-2,Building 2,2025-09-01 09:00:00,2025-09-01 22:30:00,118,,36.0,Completed
1039531,BM26MIM_2025,M1-19,Building 3,2025-09-01 09:00:00,2025-09-01 11:45:00,145,130.0,83.0,Completed
1098402,ESSB-BC2010_2025,L0.02,Building 1,2025-09-01 09:00:00,2025-09-01 10:45:00,253,240.0,138.0,Completed
1100105,ESSB-S2010_2025,L0.01,Building 1,2025-09-01 09:00:00,2025-09-01 10:45:00,217,72.0,72.0,Completed
1128938,EUC-ACC106_2025,L0.04,Building 1,2025-09-01 09:00:00,2025-09-01 10:45:00,226,220.0,167.0,Completed
1200480,BM01SCM_2025,CT-1,Building 2,2025-09-01 09:00:00,2025-09-01 10:45:00,139,100.0,81.0,Completed
959646,GW101K_2025,L0.01,Building 1,2025-09-01 11:00:00,2025-09-01 12:45:00,217,210.0,185.0,Completed
959677,GW205I_2025,L0.04,Building 1,2025-09-01 11:00:00,2025-09-01 12:30:00,226,210.0,116.0,Completed
959679,CC1001_2025,CB-4,Building 2,2025-09-01 11:00:00,2025-09-01 12:45:00,118,120.0,85.0,Completed
959688,FEB61000_2025,L0.02,Building 1,2025-09-01 11:00:00,2025-09-01 12:45:00,253,145.0,70.0,Completed
959689,FEB63002X_2025,CT-1,Building 2,2025-09-01 11:00:00,2025-09-01 12:45:00,139,130.0,100.0,Completed
959769,RR84_2025,M1-17,Building 3,2025-09-01 11:00:00,2025-09-01 12:45:00,145,150.0,98.0,Completed
1038499,RC211_2025,L0.03,Building 1,2025-09-01 11:00:00,2025-09-01 12:45:00,256,200.0,119.0,Completed
1055926,CM1010_2025,CB-1,Building 2,2025-09-01 11:00:00,2025-09-01 12:45:00,482,360.0,260.0,Completed
1072471,ESSB-E2010_2025,CB-5,Building 2,2025-09-01 11:00:00,2025-09-01 12:45:00,308,300.0,186.0,Completed
959707,RL60_2025,M1-19,Building 3,2025-09-01 12:00:00,2025-09-01 14:45:00,145,130.0,126.0,Completed
